Nomenclatura 	Classe	Grupo	Fórmula Química	Também conhecido por:	Variedades	Clivagem	Dureza	Fratura	Densidade	Tenacidade	Diafaneidade (transparência)	Traço	Brilho	Cor 	Hábito (é a forma ou conjunto de formas que um mineral pode assumir, aparência do mineral.)	Onde esse mineral está no cotidiano?	Outras informações relevantes (Solubilidade, Deliquescência, Radioatividade, Sabor, Cheiro, Magnetismo)	Classe Cristalina (Classificação do formato do cristal)	Curiosidades 
Amianto Crisotila	Silicatos	Filossilicato	(Mg)₃(Si₂O₅)(OH)₄ (Polimorfo da antigorita, ortocrisotilo, lizardita e paracrisotilo)	Asbesto	asbesto é o nome genérico de minerais de silicato fibrosos de ocorrência natural e se divide em dois grupos: serpentinas (crisotila) e anfibólios (tremolita, actinolita, antofilita, amosita e crocidolita).	Fibrosa	2,5	Fibroso	2,5 – 2,6	Flexível	Opaco, Translúcido	Branco	Gorduroso quando maciça, sedoso nas fibras.	Branco, Verde claro, Amarelo, Verde escuro, Cinza	Asbestiforme, fibroso ao longo de [100], enrolado a cilíndrico. Também laminar, maciço.		-	Hexagonal e monoclínico	As fibras do asbestos podem oferecer riscos à saúde em maior ou menor grau quando inaladas. Quanto às fibras de amianto (também chamado asbesto) são reconhecidamente cancerígenas, segundo a IARC-Agência Internacional de Pesquisa sobre o Câncer, ligada à Organização Mundial da Saúde . No Brasil, onde o amianto passou a ser utilizado em escala industrial a partir do final dos anos 1960, registros de doenças entre trabalhadores começam ser conhecidos, antevendo-se um quadro epidêmico para as próximas décadas, que não tem se concretizado. Doenças causadas pelo amianto possuem longo período de latência, que pode ultrapassar 30 anos, especialmente nos casos de câncer de pulmão, laringe, ovário e o temido mesotelioma, um tumor agressivo e incurável que acomete a pleura, o peritônio e o pericárdio - membranas que envolvem o pulmão, o abdômen e o coração, respectivamente.
Apatita	Fosfato	Grupo da Apatita	Ca₅(PO₄)₃X₂  X = F, Cl ou OH	-	-	Clivagem fraca (muito difícil de observar)	5	conchoidal, irregular	3,15g/cm³	quebradiço	Transparente, Translúcido	Branco	subresinoso, vítreo	Azul, Verde, Branco, Violeta, Amarelo, Incolor, Castanho	Normalmente forma agregados granulares de cristais prismáticos; pode ocorrer disseminado como cristais isolados ou em agregados compactos ou maciços; normalmente ocorre formando cristais prismáticos (prismas longos e curtos) geralmente terminados em bipirâmides proeminentes e um plano basal. Os cristais podem ser tabulares, às vezes exibindo faces de bipirâmide hexagonal.	Indústria vidreira: Utilizado na produção de vidros fosfatos por ser fonte de P2O5, um componente estrutural. Aplicações farmaceuticas: Hidroxi-apatita possui aplicações em medicamentos e excipiciente (substância que carrega o principio ativo).	Quando aquecida, possui fluorescência em laranja-amarelo sob ondas UV longas.                                                           Algumas variedades são fosforescentes quando aquecidas.	Bipiramidal hexagonal 	As rochas lunares coletadas pelos astronautas durante o programa Apollo contêm vestígios de apatita.
Apofilita	Silicatos	Filossilicatos	KCa₄Si₈O₂₀(F,OH).8H₂O	Apofilita e Estilbita	-	Duas direções de clivagem, uma direção de clivagem perfeita {001} (basal) e uma fraca {110}	4,5 - 5,0	irregular	2,3g/cm³  2,4g/cm³	quebradiço	Transparente, Translúcido	branco	nacarado, vítreo	Branco, Violeta, Verde claro, Amarelo, Azul claro, Incolor, Rosa	Usualmente ocorre como cristais. Os cristais podem assemelhar-se a uma combinação isométrica do cubo e do octaedro (são normalmente pseudo-cúbicos), mas mostram serem tetragonais pela diferença no brilho entre as faces do prisma e do pinacoide basal. Frequentemente com faces curvas. Possui estrias bem marcadas na zona de prisma	Usos espirituais e religiosos.	Solúvel em ácido clorídrico (HCl)	Bipiramidal ditetragonal 	O nome apofilita é derivado do grego apophyllízo ( ἀποφυλλίζω ), que significa 'descama', uma referência à tendência desta classe de descamar quando aquecida, devido à perda de água.
Aragonita	Carbonato	Grupo da Aragonita	CaCO₃	-	-	Três direções de clivagem, duas direções de clivagem distintas {010}, {110} e uma imperfeita {011}	3,5 - 4	Irregular a subconchoidal	2,94g/cm³  	Quebradiço	Transparente	Branco	Resinoso ou vítreo	Incolor a branco. Impurezas a tornam azul, verde, vermelha ou violeta.	Prismático longo a curto, acicular, tabular, estalagtítico, colunar, radial, crostas fibrosas.	Fabricação civil: fabricação de cimento; Agricultura: correção de pH de solos ácidos.	Solúvel em ácido clorídrico (HCl) a frio com efervescência. Possui fluorescência (fluoresce vermelho ou amarelo sob LW e SW UV), fosforescência e catodoluminescência.	Bipiramidal rômbica 	A aragonita foi testada com sucesso para a remoção de poluentes como zinco, cobalto e chumbo de águas residuais contaminadas.
Berilo Esmeralda em matriz de Xisto	Silicatos	Ciclosilicatos	Be₃Al₂(SiO₃)₆	Esmeralda	Variedades do Berilo: esmeralda, água-marinha, heliodoro, berilo dourado, gochenita, morganita, bixbite.	Uma direção de clivagem imperfeita {0001} (dificilmente observada, mesmo em lâmina delgada)	7,5 - 8,0	conchoidal, irregular	2,63g/cm³ 2,97g/cm³	quebradiço	Transparente	Branco	Vítreo, resinoso	Verde	Os cristais são prismáticos a colunares. Normalmente forma cristais grandes de hábito prismático, de seções hexagonais, às vezes, rômbicas, perpendiculares ao eixo “c”. Os cristais podem ser complexamente terminados em pirâmides. Também radial, colunar; granular ou compacto. Possui rara geminação.	Joalheria: produção de joias verdes muito valorizadas; Usos espirituais e religiosos.	Insolúvel em ácidos	Bipiramidal dihexagonal	O berílio em forma de poeira ou fumaça pode ser tóxico e representar riscos à saúde. Devido à sua alta clareza e baixa dispersão da luz, o berilo é usado na fabricação de lentes ópticas de alta precisão, incluindo as usadas em microscópios, telescópios e câmeras. A esmeralda "Bahia" é considerada uma das maiores esmeraldas já encontradas e pesa cerca de 341 kg.  
Berilo variação água-marinha	Silicatos	Ciclossilicatos	Be₃Al₂Si₆O₁₈ (sua cor azul é atribuída à presença de impurezas férricas, de Fe₂+)	Berilo	Variedades do Berilo: esmeralda, água-marinha, heliodoro, berilo dourado, gochenita, morganita, bixbite.	Uma direção de clivagem imperfeita {0001} (dificilmente observada, mesmo em lâmina delgada)	7,5 - 8	Conchoidal, irregular	2,63g/cm³    2,97g/cm³	Quebradiço	Transparente, Translúcido	Branco	Resinoso ou vítreo	Azul, Verde-pálido 	Cristais prismáticos curtos a longos, pode ser tabular, pode estar terminado em pirâmides e pinacóides. Granular, maciço, radial.	Joalheria: produção de joias azuis; Usos espirituais e religiosos.	A poeira de berilo, água-marinha é um berilo azul, é extremamente perigosa. Além de ser carcinogênica, pode causar efeitos tóxicos agudos quando inalada, levando à doença conhecida como beriliose.	Bipiramidal dihexagonal 	No Brasil estão localizadas as maiores reservas de água-marinha do mundo. Esse precioso mineral é uma variedade de berilo e recebe o nome de água-marinha quando exibe uma tonalidade azul. Quando o berilo se combina com outros elementos que lhe conferem uma coloração verde, é denominado esmeralda.
Berilo variação esmeralda	Silicatos	Ciclossilicatos	Be₃Al₂Si₆O₁₈ (sua cor verde é atribuída à presença de impurezas de de crômio e, às vezes, de vanádio)	Berilo	Variedades do Berilo: esmeralda, água-marinha, heliodoro, berilo dourado, gochenita, morganita, bixbite.	Uma direção imperfeita {0001}	7,5-8	Irregular a conchoidal	2,63g/cm³    2,97 g/cm³	Quebradiço	Transparente a translúcido	Branco	Vítreo, resinoso	Verde	Os cristais são prismáticos a colunares. Normalmente forma cristais grandes de hábito prismático, de seções hexagonais, às vezes rômbicas, perpendiculares ao eixo “c”. Os cristais podem ser complexamente terminados em pirâmides. Também radial, colunar; granular ou compacto. Geminação: rara, com formas {hk l}.	Joalheria: produção de joias verdes muito valorizadas; Usos espirituais e religiosos.	Insolúvel em ácidos	Bipiramidal dihexagonal	Esmeraldas sintéticas já existem e foram desenvolvidas com o intuito de oferecer gemas mais acessíveis, mantendo características químicas e físicas iguais às encontradas nas esmeraldas naturais.
Biotita em matriz de gnaisse	Silicatos	Filossilicato	K(Mg,Fe₂+)₃[AlSi₃O₁₀](OH,F)₂  ou  K(Mg,Fe₂+)₃(Al,Fe₃+)Si₃O₁₀(OH,F)₂	Biotita	Variedade da Biotita: lepidomelana, manganofilita, wodanita, natrobiotita, hendricksita.	Clivagem perfeita {001} (basal)	2,5 - 3,5	-	2,7g/cm³-3,3g/cm³	flexível, elástico, quebradiço	Opaco, Transparente	Branco, Incolor, Cinza, Castanho	nacarado, submetálico, esplêndido	Verde escuro, Marrom escuro, Preto, Castanho	Normalmente granular ou como agregados escamosos, massas granulares ou grãos disseminados irregulares. Incomum como bons cristais prismáticos tabulares ou curtos, com esboço pseudo-hexagonal. Possui geminação com plano de composição {001} e [310] como eixo de geminação.	Indústria de corantes e pigmentos: produz pigmento; Agricultura: utilizado em fertilizante; Cosmeticos: utilizada em produtos de maquiagem, como sombras e blushes. Industria de tintas	-	Prismática	Biotita Gnaisse é uma das principais rochas que formam o Morro Pão de Açúcar. A Biotita Gnaisse é da era neoproterozóica, com idades entre 1 bilhão e 541 milhões de anos.
Quartzo variede Ágata	Silicatos	Tectossilicato	SiO₂ 	Ágata		Sem clivagem	6,0 - 6,5	Desigual, estilhaçado, concoidal, bordas muito afinadas	2,60g/cm³	Quebradiço	Transparente, Translúcido	Branco	Ceroso, graxo	Vermelho, Azul, Verde, Branco, Cinza azulado, Incolor	Maciço ou em agregados com granulação variada. Os cristais são normalmente prismáticos, com as faces do prisma estriadas horizontalmente, com seção basal hexagonal.	Aplicação ornamental: itens decorativos; Usos espirituais e religiosos.	Solúvel em HF	Trapezoédrica trigonal	Muitas ágatas disponíveis comercialmente são tingidas artificialmente para intensificar suas cores naturais ou para criar cores que não ocorrem naturalmente.
Calcita	Carbonatos	Grupo da Calcita	CaCO₃	Carbonato de cálcio		Clivagem romboédrica perfeita {10̅11} (ângulo da clivagem = 74º55’)	3	Conchoidal	2,71g/cm³	Quebradiço	Opaco, Transparente	Branco	Nacarado, vítreo	Laranja, Azul, Verde, Marrom, Branco, Amarelo, Incolor, Cinza, Preto, Rosa	Normalmente ocorre como cristais ou como agregados de grânulos grossos e finos. Também em estalactites, estalagmites e concreções, em massas de granulação fina a compacta ou terrosas. Cristaliza-se com grande variedade de formas (mais de 300 conhecidas). Apresenta três hábitos importantes: i) prismático (prismas longos ou curtos), nos quais as faces do prisma são bem desenvolvidas, com terminações em pinacóide basal ou romboédricas; ii) romboédrico, em que predominam as formas romboédricas, tanto obtusas como agudas; a forma fundamental não é comum; iii) escalenoédrico, em que predominam os escalenoedros, freqüentemente com faces do prisma e truncaturas romboédricas. Os cristais podem ser tabulares finos a espessos {0001}. Possui geminações sobre o plano romboédrico negativo, muitas vezes apresenta-se como lamelas geminadas de origem secundária, podendo ser produzida artificialmente por deformação. São comuns os geminados em que o plano de geminação é o pinacoide basal {0001}, sendo menos comum a geminação segundo o romboedro fundamental.	Construção civil: Produção de cal virgem (CaO) ou cal hidratada (CaO.OH) utilizadas em argamassas; Indústrias diversas: Além da construção civil outros setores produtivos também utilizam de cal como a siderúrgica, meio ambiente, indústria química, papel e celulose, indústria alimentícia, pelotização de minério de ferro e agricultura; Indústria farmacêutica: Princípio ativo de medicamentos orais como antiácidos, antidiarreicos e suplemento mineral e excipiciente; Indústria de cosméticos: Produção de pasta de dente.	Apresenta efervescência em ácido clorídrico (HCl) frio.	Escalenoédrica hexagonal 	Principal constituinte dos calcários e mármores, tem o cálcio como principal elemento formador e possui alta pureza e alvura.  Distingue-se da dolomita pela efervescência em ácido clorídrico (HCl), e da aragonita por ter menor densidade e clivagem  romboédrica
